,ts_code,name,industry_detail,industry
0,000001.SZ,平安银行,银行-银行Ⅱ-银行Ⅲ,银行
1,000002.SZ,万科A,房地产-房地产开发Ⅱ-房地产开发Ⅲ,房地产
2,000004.SZ,国农科技,医药生物-化学制药-化学制剂,医药生物
3,000005.SZ,世纪星源,公用事业-环保工程及服务Ⅱ-环保工程及服务Ⅲ,公用事业
4,000006.SZ,深振业A,房地产-房地产开发Ⅱ-房地产开发Ⅲ,房地产
5,000007.SZ,全新好,商业贸易-商业物业经营-一般物业经营,商业贸易
6,000008.SZ,神州高铁,机械设备-运输设备Ⅱ-铁路设备,机械设备
7,000009.SZ,中国宝安,综合-综合Ⅱ-综合Ⅲ,综合
8,000010.SZ,美丽生态,建筑装饰-园林工程Ⅱ-园林工程Ⅲ,建筑装饰
9,000011.SZ,深物业A,房地产-房地产开发Ⅱ-房地产开发Ⅲ,房地产
10,000012.SZ,南玻A,建筑材料-玻璃制造Ⅱ-玻璃制造Ⅲ,建筑材料
11,000014.SZ,沙河股份,房地产-房地产开发Ⅱ-房地产开发Ⅲ,房地产
12,000016.SZ,深康佳A,家用电器-视听器材-彩电,家用电器
13,000017.SZ,*ST中华A,汽车-其他交运设备Ⅱ-其他交运设备Ⅲ,汽车
14,000019.SZ,深粮控股,商业贸易-贸易Ⅱ-贸易Ⅲ,商业贸易
15,000020.SZ,深华发A,电子-电子制造-电子系统组装,电子
16,000021.SZ,深科技,电子-电子制造-电子系统组装,电子
17,000023.SZ,深天地A,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建筑材料
18,000025.SZ,特力A,汽车-汽车服务Ⅱ-汽车服务Ⅲ,汽车
19,000026.SZ,飞亚达,轻工制造-家用轻工-珠宝首饰,轻工制造
20,000027.SZ,深圳能源,公用事业-电力-火电,公用事业
21,000028.SZ,国药一致,医药生物-医药商业Ⅱ-医药商业Ⅲ,医药生物
22,000029.SZ,深深房A,房地产-房地产开发Ⅱ-房地产开发Ⅲ,房地产
23,000030.SZ,富奥股份,汽车-汽车零部件Ⅱ-汽车零部件Ⅲ,汽车
24,000031.SZ,大悦城,房地产-房地产开发Ⅱ-房地产开发Ⅲ,房地产
25,000032.SZ,深桑达A,通信-通信设备-终端设备,通信
26,000034.SZ,神州数码,计算机-计算机应用-IT服务,计算机
27,000035.SZ,中国天楹,公用事业-环保工程及服务Ⅱ-环保工程及服务Ⅲ,公用事业
28,000036.SZ,华联控股,房地产-房地产开发Ⅱ-房地产开发Ⅲ,房地产
29,000037.SZ,深南电A,公用事业-电力-燃机发电,公用事业
30,000038.SZ,深大通,传媒-营销传播-营销服务,传媒
31,000039.SZ,中集集团,机械设备-金属制品Ⅱ-金属制品Ⅲ,机械设备
32,000040.SZ,东旭蓝天,公用事业-电力-新能源发电,公用事业
33,000042.SZ,中洲控股,房地产-房地产开发Ⅱ-房地产开发Ⅲ,房地产
34,000045.SZ,深纺织A,电子-光学光电子-显示器件Ⅲ,电子
35,000046.SZ,泛海控股,房地产-房地产开发Ⅱ-房地产开发Ⅲ,房地产
36,000048.SZ,京基智农,农林牧渔-饲料Ⅱ-饲料Ⅲ,农林牧渔
37,000049.SZ,德赛电池,电子-电子制造-电子系统组装,电子
38,000050.SZ,深天马A,电子-光学光电子-显示器件Ⅲ,电子
